title,url,servings,prepTime,cookTime,totalTime,ingredients,directions,nutrition_calories,nutrition_total_fat,nutrition_saturated_fat,nutrition_cholesterol,nutrition_sodium,nutrition_total_carbohydrate,nutrition_dietary_fiber,nutrition_total_sugars,nutrition_protein,nutrition_vitamin_c,nutrition_calcium,nutrition_iron,nutrition_potassium
Chiles en Nogada (Mexican Stuffed Poblano Peppers in Walnut Sauce),https://www.allrecipes.com/recipe/259373/chiles-en-nogada-mexican-stuffed-poblano-peppers-in-walnut-sauce/,8,1h 0m,30m,1h 30m,"8 poblano peppers | 1 tablespoon olive oil | 1 onion, chopped | 2 cloves garlic, finely chopped | 1.75 pounds ground pork | 2 cups peeled, seeded, and chopped tomatoes | 1 ripe plantain, chopped | 1 apple, chopped | 1 fresh peach, chopped | 1 bunch fresh parsley, chopped | 2 tablespoons chopped candied orange peel | 2 tablespoons pine nuts | 2 tablespoons raisins | 2 tablespoons blanched almonds, chopped | 4 whole cloves, ground | salt and pepper to taste | 2.5 cups chopped walnuts | 1.75 cups milk | 0.75 cup soft goat cheese | 1 tablespoon white sugar | 1 (1 inch) piece cinnamon stick | 1.5 cups pomegranate seeds | 0.5 cup chopped fresh parsley","2. Roast poblano chiles over an open flame on a gas stove or grill until the skin is black and charred on all sides, turning often, 10 to 15 minutes. | 3. Place the charred chiles in a plastic bag or in a large bowl covered with plastic wrap. Allow to sit for 5 to 10 minutes, then open and peel off the skin. Cut a slit in each chile lengthwise and remove the seeds. | 4. Heat olive oil in a large pot over medium heat. Add onion and garlic and cook until soft and translucent, 3 to 4 minutes. Add ground pork and cook until browned, breaking up with a spoon while cooking, about 7 minutes. Mix in tomatoes, plantain, apple, peach, parsley, candied orange peel, pine nuts, raisins, almonds, cloves, salt, and pepper. Simmer until filling is cooked through and flavors are well combined, about 10 minutes. | 5. Combine walnuts, milk, goat cheese, sugar, and cinnamon stick in a blender; blend until walnut sauce is smooth and creamy. | 6. Fill each poblano chile with the pork filling and place on a plate. Spoon walnut sauce over chile and sprinkle with pomegranate seeds and parsley.",724kcal,51g,13g,86mg,227mg,41g,9g,23g,34g,107mg,231mg,4mg,1220mg
Crispy Chinese Noodles,https://www.allrecipes.com/recipe/222814/crispy-chinese-noodles-restaurant-style/,8,5m,15m,20m,"1 (10 ounce) package egg roll wrappers | 2 cups vegetable oil, or as needed","2. Gather the ingredients. | 3. Cut egg roll wrappers into 1-inch strips. | 4. Heat a wok over medium heat until very hot. Pour oil into the hot wok and heat until shimmering. To test the heat, lower the tip of a wooden chopstick into the oil; if it bubbles vigorously, the oil is ready. | 5. Gently place 2 to 3 strips into hot oil; cook until beginning to brown on one side, 30 seconds to 1 minute. Gently flip and cook until crisp and golden brown all over, 30 seconds to 1 minute more. | 6. Use a slotted spoon to transfer fried strips to a paper towel-lined plate. Repeat to fry remaining strips.",151kcal,6g,1g,3mg,200mg,20g,1g,not provided,3g,not provided,16mg,1mg,29mg
Authentic Chinese Egg Rolls (from a Chinese person),https://www.allrecipes.com/recipe/61913/authentic-chinese-egg-rolls-from-a-chinese-person/,20,1h 0m,30m,2h 30m,"4 teaspoons vegetable oil, divided | 3 large eggs, beaten | 1 medium head cabbage, finely shredded | 0.5 carrot, julienned | 1 pound Chinese barbequed or roasted pork, cut into matchsticks | 1 (8 ounce) can shredded bamboo shoots | 1 cup dried, shredded wood ear mushroom, rehydrated | 2 green onions, thinly sliced | 2.5 teaspoons soy sauce | 1 teaspoon salt | 1 teaspoon sugar | 0.5 teaspoon monosodium glutamate (MSG) | 1 (14 ounce) package egg roll wrappers | 1 egg white, beaten | 4 cups oil for frying, or as needed","2. Heat 1 teaspoon vegetable oil in a wok or large skillet over medium heat. Pour in beaten eggs and cook, without stirring, until firmed up. Flip eggs over and cook for an additional 20 seconds to firm the other side. Set egg pancake aside to cool, then slice into thin strips. | 3. Heat remaining vegetable oil in a wok or large skillet over high heat. Stir in cabbage and carrot; cook for 2 minutes to wilt. Add pork, bamboo shoots, mushroom, green onions, soy sauce, salt, sugar, and MSG; continue cooking until vegetables soften, about 6 minutes. Stir in sliced egg, then spread the mixture out onto a pan, and refrigerate until cold, about 1 hour. | 4. To assemble the egg rolls: Place a wrapper onto your work surface with one corner pointing towards you. Place about 3 tablespoons of cooled filling in a heap onto the bottom third of the wrapper. Brush a little beaten egg white onto the top two edges of the wrapper, then fold the bottom corner over the filling and roll firmly to the halfway point. Fold the left and right sides snugly over the egg roll, then continue rolling until the top corners seal the egg roll with the egg white. Repeat with remaining egg roll wrappers, covering finished egg rolls with plastic wrap to keep from drying out. | 5. Heat about 6 inches of oil in a wok or deep-fryer to 350 degrees F (175 degrees C). | 6. Fry egg rolls 3 or 4 at a time until golden brown, 5 to 7 minutes. Drain on paper towels.",169kcal,7g,1g,46mg,315mg,16g,3g,2g,10g,17mg,38mg,1mg,232mg
Crispy Roasted Chicken,https://www.allrecipes.com/recipe/228363/crispy-roasted-chicken/,6,20m,1h 0m,1h 30m,"1 teaspoon kosher salt | 0.5 teaspoon caraway seeds | 0.5 teaspoon dried sage | 0.25 teaspoon fennel seeds | 0.25 teaspoon coriander seeds | 0.25 teaspoon dried rosemary | 2 tablespoons paprika | 2 teaspoons garlic powder | 2 teaspoons all-purpose flour | 1 teaspoon onion powder | 5 tablespoons vegetable oil | 1 (4 pound) broiler-fryer chicken, cut in half lengthwise","2. Preheat the oven to 425 degrees F (220 degrees C). | 3. Combine kosher salt, caraway, sage, fennel, coriander, and rosemary in a spice grinder or mortar. Grind to a coarse powder. Transfer spice mixture to a bowl; stir in paprika, garlic powder, flour, and onion powder. Mix in vegetable oil to make a smooth paste. | 4. Pat chicken halves dry with paper towels and tuck wing tips behind the back. Brush spice paste onto chicken halves, coating all sides and seasoning under wings and legs. Place chicken halves, skin-sides up, in a baking dish or roasting pan, leaving space around chickens so halves aren&#39;t touching. | 5. Roast in the preheated oven until no longer pink at the bone and the juices run clear, about 1 hour. An instant-read thermometer inserted into the thickest part of the thigh, near the bone, should read 165 degrees F (74 degrees C). Remove from the oven and let rest for 10 minutes before slicing.",495kcal,35g,8g,129mg,446mg,3g,1g,1g,42g,2mg,31mg,3mg,433mg
Japanese-Style Cabbage Salad,https://www.allrecipes.com/recipe/150135/japanese-style-cabbage-salad/,12,25m,not provided,25m,"0.5 large head cabbage, cored and shredded | 1 bunch green onions, thinly sliced | 1 cup almond slivers | 0.25 cup toasted sesame seeds | 3 tablespoons sesame oil | 3 tablespoons rice vinegar | 1 tablespoon white sugar | 1 clove garlic, minced | 1 teaspoon grated fresh ginger root | 1 teaspoon salt | 1 teaspoon black pepper","2. Combine cabbage, green onions, almond, and sesame seeds in a large bowl. | 3. Make dressing: Whisk together sesame oil, vinegar, sugar, garlic, ginger, salt, and pepper in a small bowl until sugar is dissolved. | 4. Pour dressing over cabbage mixture and toss until well combined.",126kcal,10g,1g,not provided,208mg,8g,3g,4g,4g,23mg,88mg,1mg,215mg
Easy Indian Butter Chicken,https://www.allrecipes.com/recipe/141169/easy-indian-butter-chicken/,6,15m,45m,1h 0m,"1 cup butter, divided | 1 onion, minced | 1 tablespoon minced garlic | 1 (15 ounce) can tomato sauce | 3 cups heavy cream | 2 teaspoons salt | 1 teaspoon cayenne pepper | 1 teaspoon garam masala | 1.5 pounds skinless, boneless chicken breast, cut into bite-sized chunks | 2 tablespoons vegetable oil | 2 tablespoons tandoori masala","2. Gather all ingredients. Preheat the oven to 375 degrees F (190 degrees C). | 3. Melt 2 tablespoons butter in a skillet over medium heat. Stir in onion and garlic, and cook slowly until the onion caramelizes to a dark brown, about 15 minutes. | 4. Meanwhile, combine cream, tomato sauce, remaining butter, salt, cayenne pepper, and garam masala in a saucepan over medium-high heat; bring to a simmer. | 5. Reduce heat to medium-low, cover, and simmer, stirring occasionally, for 30 minutes. Stir in caramelized onions. | 6. While the sauce is simmering, toss chicken with vegetable oil until coated. Season with tandoori masala and spread out onto a baking sheet. | 7. Bake chicken in the preheated oven until no longer pink in the center, about 12 minutes. | 8. Add cooked chicken to the sauce and simmer for 5 minutes before serving.",880kcal,82g,48g,303mg,1461mg,13g,3g,5g,26g,11mg,134mg,2mg,567mg
Szechwan Shrimp,https://www.allrecipes.com/recipe/86230/szechwan-shrimp/,4,10m,5m,15m,"4 tablespoons water | 2 tablespoons ketchup | 1 tablespoon soy sauce | 2 teaspoons cornstarch | 1 teaspoon honey | 0.5 teaspoon crushed red pepper | 0.25 teaspoon ground ginger | 1 tablespoon vegetable oil | 0.25 cup sliced green onions | 4 cloves garlic, minced | 12 ounces cooked shrimp, tails removed","2. Stir together water, ketchup, soy sauce, cornstarch, honey, crushed red pepper, and ground ginger in a small bowl until combined. Set aside. | 3. Heat oil in a large skillet over medium-high heat. Cook and stir green onions and garlic in hot oil until fragrant, about 30 seconds. Stir in cooked shrimp; toss to coat with oil. Pour in ketchup mixture. Cook and stir until sauce is bubbly and thickened.",142kcal,4g,1g,164mg,500mg,7g,0g,4g,18g,5mg,46mg,3mg,231mg
German Hamburgers (Frikadellen),https://www.allrecipes.com/recipe/221351/german-hamburgers-frikadellen/,4,20m,10m,40m,"1 Kaiser roll | 0.66666668653488 pound ground beef | 0.33333334326744 pound ground pork | 1 onion, finely chopped | 0.25 cup chopped fresh parsley | 1 egg | 1 teaspoon Hungarian hot paprika | salt and ground black pepper to taste","2. Soak kaiser roll in a medium bowl of water for 10 minutes. Drain and squeeze out excess water; crumble into a large bowl. | 3. Add ground meats, onion, parsley, egg, paprika, salt, and black pepper to crumbled roll; mix until well blended. Shape mixture into large flattened meatballs. | 4. Heat a large nonstick skillet over medium heat. Fry meatballs in the hot skillet until browned and no longer pink in the center, about 5 minutes per side. An instant-read thermometer inserted into the center of a patty should read at least 160 degrees F (70 degrees C).",272kcal,16g,6g,117mg,138mg,9g,1g,2g,22g,8mg,40mg,3mg,351mg
Galaktoboureko,https://www.allrecipes.com/recipe/70320/galaktoboureko/,16,1h 40m,50m,2h 30m,"2.5 cups white sugar, divided | 1 cup semolina flour | 3.5 tablespoons cornstarch | 0.25 teaspoon salt | 6 cups whole milk | 6 large eggs | 1 teaspoon vanilla extract | 0.75 cup butter, melted | 12 sheets phyllo dough | 1 cup water","2. Gather all ingredients. | 3. Whisk 1 cup sugar, semolina, cornstarch, and salt together in a medium bowl until no cornstarch clumps remain. | 4. Bring milk to a boil in a large saucepan over medium heat. Gradually stir in semolina mixture with a wooden spoon. Cook, stirring constantly, until mixture thickens and comes to a full boil. Remove from the heat and keep warm. | 5. Beat eggs in a large bowl with an electric mixer on high speed. Add 1/2 cup sugar and beat for a full 10 minutes until thick and pale. Stir in vanilla. | 6. Fold mixture into the hot semolina mixture. Partially cover the pan and set aside to cool. Preheat the oven to 350 degrees F (175 degrees C). | 7. Butter a 9x13-inch baking dish. Place one phyllo sheet into the pan and brush with melted butter; repeat with six more sheets. | 8. Pour custard into the pan. | 9. Add the remaining phyllo sheets, one at a time, brushing each with butter. | 10. Bake in the preheated oven until top crust is crisp and custard filling has set, 40 to 45 minutes. | 11. When the custard is just about finished baking, stir remaining 1 cup sugar and water together in a small saucepan; bring to a boil. | 12. Remove custard from the oven and spoon hot syrup over top, particularly around the edges. | 13. Let cool to room temperature, then cut into 16 squares and serve.",367kcal,14g,8g,102mg,224mg,52g,1g,not provided,8g,not provided,120mg,1mg,190mg
Perfect Chicken Piccata,https://www.allrecipes.com/recipe/8300592/perfect-chicken-piccata/,4,10m,20m,30m,"4 (4 ounce) boneless, skinless chicken breast halves | 1.5 teaspoons kosher salt | 1 teaspoon ground black pepper | 0.667 cup all-purpose flour | 3 tablespoons olive oil, divided | 3 tablespoons butter, divided | 0.25 cup dry white wine, such as Pinot Grigio | 3 tablespoons capers, rinsed and drained | 0.75 cup chicken stock | 0.25 cup fresh lemon juice | 1 teaspoon lemon zest | 0.25 cup chopped fresh parsley","2. Slice chicken breasts in half lengthwise and lightly pound to 1/2-inch thick. Season evenly on both sides with salt and pepper. Dredge each piece in flour to coat the surface and shake off any excess flour. | 3. Heat 2 tablespoons oil and 1 ½ tablespoons butter in a large skillet over medium-high heat until just beginning to smoke. Add 1/2 of the chicken and cook, undisturbed, until browned and easily released from the skillet, 2 ½ to 3 minutes. Flip and cook for 2 more minutes. Remove from the skillet. Add remaining 1 tablespoon oil to the drippings and repeat the cooking process with remaining chicken. Reserve all chicken on a plate. | 4. Reduce heat to medium and melt remaining 1 ½ tablespoons butter in the skillet. Add wine and capers and stir, scraping to release any browned bits from the skillet; bring to a simmer. Cook for 2 minutes to slightly reduce. Add chicken stock, lemon juice, and lemon zest; stir to combine. Bring to a simmer and cook for 2 minutes. | 5. Return chicken to the skillet and cook, turning occasionally in the sauce, until chicken is no longer pink in the center, the juices run clear, and the sauce has thickened slightly, 3 to 5 minutes. | 6. Remove from heat and sprinkle with parsley to serve.",391kcal,21g,7g,90mg,1268mg,19g,1g,not provided,29g,not provided,not provided,not provided,375mg
Baked Rigatoni ,https://www.allrecipes.com/recipe/278364/baked-rigatoni-for-a-crowd/,12,20m,1h 0m,1h 20m,"1 tablespoon olive oil | 1 large onion, chopped | 2 pounds mild Italian sausage links, casings removed | 2 (28 ounce) cans Italian-style crushed tomatoes, undrained | 2 cups water | 3 tablespoons chopped fresh basil | 1 tablespoon chopped fresh oregano | 1 tablespoon chopped fresh parsley | 1.5 (16 ounce) packages rigatoni pasta | 1 pound mozzarella cheese, shredded | 1.5 cups freshly shredded Parmesan cheese, divided | aluminum foil","2. Heat oil in a large saucepan over medium heat. Add onion and cook until soft, 3 to 4 minutes. Add sausage; stir to break up lumps and cook until lightly browned and crumbly, 6 to 8 minutes. Drain and discard grease. | 3. Add undrained tomatoes, water, basil, oregano, and parsley to the pan; bring to a boil over medium heat. Reduce heat to low and cook, partially covered, for 25 minutes. | 4. Meanwhile, bring a large pot of lightly salted water to a boil. Cook rigatoni in the boiling water, stirring occasionally until tender yet firm to the bite, 10 to 12 minutes. Drain, rinse under cool water, and drain again. Transfer to a large bowl and set aside. | 5. Preheat the oven to 350 degrees F (175 degrees C). | 6. Uncover the sauce and increase heat to medium. Cook, stirring occasionally, until sauce thickens, 6 to 8 minutes. Remove from heat and add 2/3 of the sauce to pasta; toss to combine. Stir in mozzarella cheese and 1 cup Parmesan cheese. Transfer to a 9x13-inch baking dish, pour remaining sauce over top, and cover with aluminum foil.. | 7. Bake in the preheated oven for 25 minutes. Uncover, sprinkle with remaining Parmesan, and bake until lightly browned, about 10 minutes longer.",580kcal,26g,11g,63mg,1326mg,54g,3g,3g,32g,2mg,437mg,3mg,332mg
Japanese-Style Deep-Fried Shrimp,https://www.allrecipes.com/recipe/127500/japanese-style-deep-fried-shrimp/,4,10m,15m,25m,"1 pound medium shrimp, peeled (tails left on) and deveined | 0.5 teaspoon salt | 0.5 teaspoon ground black pepper | 0.5 teaspoon garlic powder | 1 cup all-purpose flour | 1 teaspoon paprika | 2 large eggs, beaten | 1 cup panko crumbs | 1 quart vegetable oil for frying","2. Gather all ingredients. | 3. Place shrimp in a bowl and season with salt, pepper, and garlic powder. | 4. Mix flour and paprika together in a shallow bowl. Place eggs in a second bowl and panko in a third bowl. | 5. Heat oil in a deep fryer or deep skillet to 375 degrees F (190 degrees C). Dip each shrimp into flour mixture, then into egg, and finally into panko crumbs to coat. | 6. Fry a few shrimp at a time in the hot oil until golden brown, about 5 minutes. | 7. Remove with a slotted spoon and drain on paper towels before serving. | 8. Serve and enjoy!",630kcal,37g,6g,250mg,763mg,54g,2g,0g,28g,2mg,80mg,3mg,287mg
