ingredient,disease,effect,reason
chorizo de bilbao,diabetes,negative,"A processed meat high in saturated fat and sodium, which are risk factors for heart disease."
chorizo sausage,diabetes,negative,"A processed meat high in saturated fat and sodium, which are risk factors for heart disease."
chourico,diabetes,negative,"A processed meat high in saturated fat and sodium, which can negatively impact cardiovascular health."
chourico sausage,diabetes,negative,"A processed meat high in saturated fat and sodium, which can negatively impact cardiovascular health."
chow mein noodle,diabetes,very negative,"Made from refined flour and often fried, resulting in a high load of carbohydrates and unhealthy fats that spike blood sugar."
chutney,diabetes,very negative,"Typically very high in sugar from fruit and added sweeteners, causing a significant rise in blood sugar."
ciabatta sandwich roll,diabetes,very negative,"Made from refined white flour, which has a high glycemic index and causes a rapid spike in blood sugar."
cider vinegar,diabetes,positive,Acetic acid in vinegar can help improve insulin sensitivity and moderate blood sugar spikes after meals.
cilantro,diabetes,positive,"A nutrient-dense, low-carbohydrate herb that adds flavor without affecting blood sugar."
cilantro leaf,diabetes,positive,"A nutrient-dense, low-carbohydrate herb that adds flavor without affecting blood sugar."
cilantro stem,diabetes,positive,"A nutrient-dense, low-carbohydrate herb that adds flavor without affecting blood sugar."
cinnamon,diabetes,positive,May help lower blood sugar levels and improve insulin sensitivity.
cinnamon stick,diabetes,positive,May help lower blood sugar levels and improve insulin sensitivity.
cinnamon sugar,diabetes,very negative,"Primarily consists of sugar, which directly and rapidly raises blood glucose levels."
citric acid,diabetes,neutral,
clam,diabetes,positive,"Excellent source of lean protein with no carbohydrates, which helps manage blood sugar levels."
clarified butter,diabetes,negative,"A pure saturated fat, which should be limited to manage cardiovascular risk associated with diabetes."
clove,diabetes,positive,A spice containing antioxidants that may help improve insulin sensitivity.
club soda,diabetes,neutral,
coarse salt,diabetes,negative,"High sodium intake can contribute to high blood pressure, a significant risk for people with diabetes."
cocoa,diabetes,positive,"Unsweetened cocoa is rich in flavonoids, which can improve insulin sensitivity and heart health."
cocoa mix,diabetes,very negative,"Typically very high in added sugar, which causes rapid spikes in blood glucose."
cocoa powder,diabetes,positive,"Unsweetened cocoa powder is rich in flavonoids, which can improve insulin sensitivity and heart health."
coconut,diabetes,negative,"High in saturated fat, which should be limited to manage cardiovascular risk associated with diabetes."
coconut cream,diabetes,negative,"Very high in saturated fat, which can negatively impact heart health."
coconut extract,diabetes,neutral,
coconut flake,diabetes,negative,"High in saturated fat. Sweetened versions also contain added sugar, which spikes blood glucose."
coconut flavored rum,diabetes,very negative,"Contains alcohol, which can cause unpredictable blood sugar fluctuations, and is high in added sugar."
coconut flour,diabetes,positive,"High in fiber and lower in carbohydrates than traditional flours, leading to a smaller impact on blood sugar."
coconut milk,diabetes,negative,"High in saturated fat, which should be limited to manage cardiovascular risk."
coconut milk powder,diabetes,negative,"A concentrated source of saturated fat, which should be limited to protect heart health."
coconut oil,diabetes,negative,"Very high in saturated fat, which is linked to increased cardiovascular risk."
coconut preserve,diabetes,very negative,"Extremely high in added sugar, causing a sharp and significant rise in blood sugar levels."
coconut sugar,diabetes,very negative,"It is a form of sugar that significantly raises blood glucose levels, similar to regular table sugar."
coconut water,diabetes,negative,Contains natural sugars and carbohydrates that can raise blood sugar levels.
cod,diabetes,positive,"An excellent source of lean protein and omega-3 fatty acids, which support heart health and do not raise blood sugar."
cod fish,diabetes,positive,"An excellent source of lean protein and omega-3 fatty acids, which support heart health and do not raise blood sugar."
cod fillet,diabetes,positive,"An excellent source of lean protein and omega-3 fatty acids, which support heart health and do not raise blood sugar."
coffee,diabetes,positive,Unsweetened coffee contains antioxidants and may improve insulin sensitivity over the long term.
coffee bean,diabetes,positive,Source of coffee's beneficial compounds; rich in antioxidants.
coffee flavored liqueur,diabetes,very negative,"High in both sugar and alcohol, which can cause significant and unpredictable blood sugar spikes."
cola,diabetes,very negative,A sugar-sweetened beverage that causes a rapid and severe spike in blood glucose levels.
cola flavored carbonated beverage,diabetes,very negative,A sugar-sweetened beverage that causes a rapid and severe spike in blood glucose levels.
colby longhorn cheese,diabetes,neutral,
coleslaw mix,diabetes,positive,"Composed of non-starchy vegetables like cabbage and carrots, which are high in fiber and low in carbohydrates."
collard green,diabetes,positive,"A non-starchy, leafy green vegetable that is high in fiber and nutrients, with a minimal impact on blood sugar."
colored sprinkle,diabetes,very negative,"Made almost entirely of sugar, causing a rapid spike in blood glucose."
condensed beef broth,diabetes,negative,"Often very high in sodium, which can contribute to high blood pressure."
condensed cream of chicken soup,diabetes,negative,"Usually high in sodium, refined carbohydrates, and unhealthy fats."
condensed cream of mushroom soup,diabetes,negative,"Typically high in sodium, refined carbohydrates, and unhealthy fats."
condensed milk,diabetes,very negative,"Extremely high in added sugar, leading to a very sharp increase in blood sugar."
condensed tomato soup,diabetes,negative,Frequently contains high levels of added sugar and sodium.
confectioners sugar,diabetes,very negative,"A form of pure, refined sugar that is rapidly absorbed and causes a significant blood sugar spike."
cooking oil,diabetes,neutral,
cooking sherry,diabetes,negative,"Contains alcohol, which can affect blood sugar, and is often very high in sodium."
cooking spray,diabetes,neutral,
cooking wine,diabetes,negative,"Contains alcohol, which can affect blood sugar, and is typically very high in sodium."
coriander,diabetes,positive,"Some studies suggest it may help lower blood sugar levels, and it adds flavor without calories or sodium."
coriander powder,diabetes,positive,"Some studies suggest it may help lower blood sugar levels, and it adds flavor without calories or sodium."
coriander seed,diabetes,positive,"Some studies suggest it may help lower blood sugar levels, and it adds flavor without calories or sodium."
corn,diabetes,negative,A starchy vegetable high in carbohydrates that can significantly raise blood sugar levels if not portion-controlled.
corn flour,diabetes,very negative,A refined starch with a high glycemic index that can cause a rapid and significant spike in blood sugar.
corn husk,diabetes,neutral,
corn kernel,diabetes,negative,A starchy vegetable high in carbohydrates that can significantly raise blood sugar levels if not portion-controlled.
corn oil,diabetes,neutral,
corn syrup,diabetes,very negative,"A pure, processed sugar that causes a very rapid and significant spike in blood glucose."
corn tortilla,diabetes,negative,A carbohydrate source that will raise blood sugar. Portion control is essential.
corned beef,diabetes,negative,"Processed meat that is very high in sodium and saturated fat, which are concerns for heart health."
corned beef brisket,diabetes,negative,"Processed meat that is very high in sodium and saturated fat, which are concerns for heart health."
cornflakes cereal,diabetes,negative,"A highly processed, high-glycemic-index carbohydrate that will cause a rapid spike in blood sugar."
cornichon,diabetes,positive,Very low in carbohydrates and calories. The vinegar may also have a slight blood sugar-stabilizing effect.
