title,original_ingredients,standardized_ingredients
Persian Rice,"water, kosher salt, basmati rice, olive oil, russet potato, cumin, salt, butter, saffron, water, parsley","water, salt, basmati rice, olive oil, russet potato, cumin, butter, saffron, parsley"
Maui Banana Cream Tube Cake,"butter, white sugar, eggs, vanilla extract, bananas, all-purpose flour, baking powder, baking soda, salt, nonfat plain yogurt, pecans, confectioners' sugar","butter, sugar, egg, vanilla extract, banana, all purpose flour, baking powder, baking soda, salt, nonfat plain yogurt, pecan, confectioners sugar"
Roast Peruvian Turkey,"turkey, cumin, soy sauce, white vinegar, vegetable oil, garlic, paprika, black pepper, paprika, oregano, kosher salt, vegetable oil, water, creme fraiche, chicken broth, lime, jalapeno peppers, cilantro, cayenne pepper","turkey, cumin, soy sauce, white vinegar, vegetable oil, garlic, paprika, black pepper, oregano, salt, water, creme fraiche, chicken broth, lime, jalapeno pepper, cilantro, cayenne pepper"
Cuban-Style Roast Pork,"garlic, kosher salt, black pepper, cumin, oregano, coriander, lime juice, orange juice, olive oil, white wine vinegar, pork shoulder roast","garlic, salt, black pepper, cumin, oregano, coriander, lime juice, orange juice, olive oil, white wine vinegar, pork shoulder roast"
Portuguese Sweet Rice,"milk, white rice, sugar, eggs","milk, rice, sugar, egg"
Easy Chimichurri Sauce,"water, oregano, salt, parsley, cilantro, garlic, shallot, jalapeno pepper, red wine vinegar, extra virgin olive oil","water, oregano, salt, parsley, cilantro, garlic, shallot, jalapeno pepper, red wine vinegar, extra virgin olive oil"
Indian Summer Raspberry Peach Sangria,"red wine, raspberry-flavored soda water, peach schnapps, pomegranate juice, lemon juice, peaches, lemons, raspberries, orange, ice cubes","red wine, raspberry flavored soda water, peach schnapps, pomegranate juice, lemon juice, peach, lemon, raspberry, orange, ice cube"
Chupe (Peruvian Shrimp Chowder),"olive oil, red onion, salt, butternut squash, garlic, black pepper, chicken stock, corn, peas, white rice, shrimp, feta cheese, milk","olive oil, red onion, salt, butternut squash, garlic, black pepper, chicken stock, corn, pea, rice, shrimp, feta cheese, milk"
Tortilla de Patatas,"extra-virgin olive oil, Yukon Gold potatoes, onion, pink Himalayan salt, eggs, olive oil","extra virgin olive oil, yukon gold potato, onion, pink himalayan salt, egg, olive oil"
Danish Cinnamon Snails,"milk, yeast, butter, eggs, white sugar, cardamom, salt, all-purpose flour, butter, sugar, cinnamon","milk, yeast, butter, egg, sugar, cardamom, salt, all purpose flour, cinnamon"
Sharon&#39;s Jamaican Fruit Cake,"butter, sugar, eggs, white rum, lime juice, almond extract, vanilla extract, lime, mixed fruit, red wine, molasses, all-purpose flour, baking powder, nutmeg, allspice, cinnamon, salt","butter, sugar, egg, white rum, lime juice, almond extract, vanilla extract, lime, mixed fruit, red wine, molasses, all purpose flour, baking powder, nutmeg, allspice, cinnamon, salt"
Beefs Portuguese Style,"red wine, water, garlic, chile paste, white pepper, salt, beef tenderloin steaks, vegetable oil","red wine, water, garlic, chile paste, white pepper, salt, beef tenderloin steak, vegetable oil"
Vietnamese Style Vegetarian Curry Soup,"vegetable oil, onion, shallots, garlic, ginger root, lemon grass, curry powder, green bell pepper, carrots, mushrooms, tofu, vegetable broth, water, vegetarian fish sauce, red pepper flakes, bay leaf, makrut lime leaves, potatoes, coconut milk, bean sprouts, cilantro","vegetable oil, onion, shallot, garlic, ginger root, lemongrass, curry powder, green bell pepper, carrot, mushroom, tofu, vegetable broth, water, vegetarian fish sauce, red pepper flake, bay leaf, makrut lime leaf, potato, coconut milk, bean sprout, cilantro"
Sunomono (Japanese Cucumber Salad),"cucumbers, rice vinegar, sugar, ginger root, salt","cucumber, rice vinegar, sugar, ginger root, salt"
Bistek (Filipino Beef Steak),"soy sauce, lime juice, garlic, white sugar, fish sauce, black pepper, beef steak, vegetable oil, potatoes, onion, water","soy sauce, lime juice, garlic, sugar, fish sauce, black pepper, beef steak, vegetable oil, potato, onion, water"
Puerto Rican Arroz con Pollo,"chicken thighs, apple cider vinegar, canola oil, pork, ham, red bell pepper, green bell pepper, yellow onion, sofrito, recaito, oregano, cumin, black pepper, capers, garlic, tomato sauce, Spanish olives, chicken broth, sazon seasoning, white rice","chicken thigh, apple cider vinegar, canola oil, pork, ham, red bell pepper, green bell pepper, yellow onion, sofrito, recaito, oregano, cumin, black pepper, caper, garlic, tomato sauce, black olive, chicken broth, sazon seasoning, white rice"
Kid-Friendly Chicken Katsu,"chicken tenders, garlic salt, all-purpose flour, eggs, panko bread crumbs, vegetable oil, ketchup, soy sauce, white sugar, Worcestershire sauce, cayenne pepper","chicken tender, garlic salt, all purpose flour, egg, panko bread crumb, vegetable oil, ketchup, soy sauce, sugar, worcestershire sauce, cayenne pepper"
Pumpkin Kaya,"pumpkin, coconut cream, brown sugar, pandan leaves","pumpkin, coconut cream, brown sugar, pandan leaf"
Australian Federation Biscuits,"butter, white sugar, eggs, baking soda, water, dates, golden raisins, all-purpose flour, cinnamon, walnuts","butter, sugar, egg, baking soda, water, date, golden raisin, all purpose flour, cinnamon, walnut"
Russian Poppy Seed Roll,"milk, active dry yeast, sugar, sugar, lemon zest, eggs, egg yolks, salt, all-purpose flour, unsalted butter, poppy seeds, milk, raisins, egg whites, honey, sugar, walnuts, unsalted butter, egg, water","milk, active dry yeast, sugar, lemon zest, egg, egg yolk, salt, all purpose flour, unsalted butter, poppy seed, raisin, egg white, honey, walnut, water"
Spanish-Style Oxtail Stew,"olive oil, beef oxtail, onions, green bell pepper, garlic, white wine, beef broth, bay leaves, unsweetened chocolate, paprika, salt, carrots","olive oil, beef oxtail, onion, green bell pepper, garlic, white wine, beef broth, bay leaf, unsweetened chocolate, paprika, salt, carrot"
Cream Cheese and Crab Sushi Rolls,"white rice, water, rice vinegar, salt, nori seaweed, cucumber, imitation crab, cream cheese, ginger root","white rice, water, rice vinegar, salt, nori seaweed, cucumber, imitation crab, cream cheese, ginger root"
Portuguese Coconut Cakes (Bolos de Coco),"coconut, white sugar, eggs, lemon zest","coconut, sugar, egg, lemon zest"
Chocolate Chip Belgian Waffles,"egg, all-purpose flour, milk, chocolate chips, vegetable oil, sugar, baking powder, vanilla extract, salt, cooking spray","egg, all purpose flour, milk, chocolate chip, vegetable oil, sugar, baking powder, vanilla extract, salt, cooking spray"
Dulce de Leche,"milk, vanilla bean, white sugar, baking soda","milk, vanilla bean, sugar, baking soda"
Tulumba (Deep-Fried Pastry with Syrup),"water, vegetable oil, all-purpose flour, baking powder, eggs, vegetable oil, white sugar, water","water, vegetable oil, all purpose flour, baking powder, egg, sugar"
Jalapeño Jelly,"green bell pepper, jalapeno peppers, apple cider vinegar, salt, granulated sugar, pectin, jalapeno peppers","green bell pepper, jalapeno pepper, apple cider vinegar, salt, sugar, pectin"
Opor Ayam (Chicken in Coconut Milk),"chicken, lemon, candlenuts, coriander, cumin seeds, shallots, garlic, galangal, ginger, white peppercorns, turmeric root, vegetable oil, lemongrass, tamarind juice, makrut lime leaves, bay leaves, salt, white sugar, coconut milk, coconut milk, Thai basil, fried shallots","chicken, lemon, candlenut, coriander, cumin seed, shallot, garlic, galangal, ginger, white peppercorn, turmeric root, vegetable oil, lemongrass, tamarind juice, makrut lime leaf, bay leaf, salt, sugar, coconut milk, thai basil, fried shallot"
Chinese Broccoli,"Gai Lan, hoisin sauce, white sugar, soy sauce, cornstarch, rice vinegar, sesame oil, garlic, ginger root","gai lan, hoisin sauce, sugar, soy sauce, cornstarch, rice vinegar, sesame oil, garlic, ginger root"
Malaysian Chicken Curry,"shallots, hot chile peppers, lemongrass, almonds, cilantro, garlic, ginger, peanut oil, chicken thighs, peanut oil, onion, red bell pepper, yellow bell pepper, orange bell pepper, snow peas, carrot, coconut milk, white sugar, salt","shallot, hot chile pepper, lemongrass, almond, cilantro, garlic, ginger, peanut oil, chicken thigh, onion, red bell pepper, yellow bell pepper, orange bell pepper, snow pea, carrot, coconut milk, sugar, salt"
Norwegian Lefse,"potatoes, butter, heavy cream, salt, sugar, all-purpose flour","potato, butter, heavy cream, salt, sugar, all purpose flour"
Scandinavian Almond Bars,"butter, white sugar, egg, almond extract, all-purpose flour, baking powder, salt, almonds, milk, confectioners' sugar, almond extract, milk","butter, sugar, egg, almond extract, all purpose flour, baking powder, salt, almond, milk, confectioners sugar"
Russian Syrniki,"cottage cheese, eggs, sugar, semolina flour, all-purpose flour, canola oil","cottage cheese, egg, sugar, semolina flour, all purpose flour, canola oil"
Peruvian Cilantro Rice,"chicken breast halves, cilantro, water, vegetable oil, garlic, carrots, peas, cumin, white rice","chicken breast, cilantro, water, vegetable oil, garlic, carrot, pea, cumin, white rice"
Russian Cabbage Pie,"butter, cabbage, eggs, dill, salt, yeasted puff pastry, egg","butter, cabbage, egg, dill, salt, yeasted puff pastry"
Mom&#39;s Buttermilk Pancakes,"flour, salt, baking soda, egg, buttermilk, butter","all purpose flour, salt, baking soda, egg, buttermilk, butter"
Bang Bang Chicken,"milk, egg, chicken breasts, potato starch, all-purpose flour, salt, black pepper, shichimi togarashi, oil, mayonnaise, honey, sweet chili sauce, gochujang","milk, egg, chicken breast, potato starch, all purpose flour, salt, black pepper, shichimi togarashi, cooking oil, mayonnaise, honey, sweet chili sauce, gochujang"
Instant Pot® Pho,"oxtail, ginger, onion, cinnamon stick, cardamom pods, cloves, star anise, coriander seeds, fennel seeds, water, fish sauce, onions, sugar, salt, rice noodles","oxtail, ginger, onion, cinnamon stick, cardamom pod, clove, star anise, coriander seed, fennel seed, water, fish sauce, sugar, salt, rice noodle"
Persian Shish Kabob,"beef tenderloin, onion, lime juice, salt, black pepper","beef tenderloin, onion, lime juice, salt, black pepper"
Tandoori Masala Spice Mix,"coriander, cumin, garlic powder, ginger, cloves, mace, fenugreek, cinnamon, black pepper, cardamom, nutmeg","coriander, cumin, garlic powder, ginger, clove, mace, fenugreek, cinnamon, black pepper, cardamom, nutmeg"
Jay&#39;s Jerk Chicken,"green onions, onion, jalapeno pepper, soy sauce, distilled white vinegar, vegetable oil, brown sugar, thyme, cloves, nutmeg, allspice, chicken breast, wedges","green onion, onion, jalapeno pepper, soy sauce, distilled white vinegar, vegetable oil, brown sugar, thyme, clove, nutmeg, allspice, chicken breast"
Authentic Miso Soup,"water, dashi kombu, bonito flakes, tofu, wakame, miso paste, green onions","water, dashi kombu, bonito flake, tofu, wakame, miso paste, green onion"
Chicken Arroz Caldo (Chicken Rice Porridge),"olive oil, onion, garlic, ginger, chicken wings, fish sauce, chicken broth, glutinous sweet rice, salt and pepper, green onion, lemon, fish sauce","olive oil, onion, garlic, ginger, chicken wing, fish sauce, chicken broth, glutinous sweet rice, salt, black pepper, green onion, lemon"
Japanese-Style Deep-Fried Shrimp,"shrimp, salt, black pepper, garlic powder, all-purpose flour, paprika, eggs, panko crumbs, vegetable oil","shrimp, salt, black pepper, garlic powder, all purpose flour, paprika, egg, panko bread crumb, vegetable oil"
Fairy Bread,"white bread, butter or margarine, multicolored candy sprinkles","white bread, butter, margarine, multicolored candy sprinkle"
Korean-Style Salad Dressing,"low-sodium soy sauce, water, rice vinegar, sesame oil, sugar, red chile pepper","low sodium soy sauce, water, rice vinegar, sesame oil, sugar, red chile pepper"
Kimchi Jun (Kimchi Pancake) and Dipping Sauce,"kimchi, juice, all-purpose flour, eggs, green onion, vegetable oil, salt, rice vinegar, soy sauce, sesame oil, Korean chili pepper flakes, sesame seeds","kimchi, juice, all purpose flour, egg, green onion, vegetable oil, salt, rice vinegar, soy sauce, sesame oil, korean red pepper flake, sesame seed"
Korean BBQ Galbi,"beef short ribs, Asian pear, onion, garlic, soy sauce, brown sugar, honey, sesame oil, black pepper","beef short rib, asian pear, onion, garlic, soy sauce, brown sugar, honey, sesame oil, black pepper"
Kwek Kwek (Filipino Street Food),"quail eggs, rice vinegar, ketchup, brown sugar, soy sauce, water, yellow food coloring, red food coloring, all-purpose flour, salt and freshly ground black pepper, deep frying, cornstarch, bamboo skewer","quail egg, rice vinegar, ketchup, brown sugar, soy sauce, water, yellow food coloring, red food coloring, all purpose flour, salt, black pepper, deep frying, cornstarch, bamboo skewer"
Best Hummus,"garbanzo beans, tahini, olive oil, lemon juice, water, garlic, cumin, paprika, parsley","chickpea, tahini, olive oil, lemon juice, water, garlic, cumin, paprika, parsley"
Vegetarian Moussaka,"eggplant, salt, olive oil, zucchini, potatoes, onion, garlic, white vinegar, tomatoes, lentils, parsley, oregano, black pepper, feta cheese, milk, all-purpose flour, butter, nutmeg, black pepper, egg, Parmesan cheese","eggplant, salt, olive oil, zucchini, potato, onion, garlic, white vinegar, tomato, lentil, parsley, oregano, black pepper, feta cheese, milk, all purpose flour, butter, nutmeg, egg, parmesan cheese"
Homemade Pickled Ginger (Gari),"ginger root, sea salt, rice vinegar, white sugar","ginger, sea salt, rice vinegar, white sugar"
Szechuan Beef,"soy sauce, cornstarch, garlic, red pepper, sirloin steak, vegetable oil, broccoli, onions, water chestnuts, chicken broth, peanuts","soy sauce, cornstarch, garlic, red pepper, sirloin steak, vegetable oil, broccoli, onion, water chestnut, chicken broth, peanut"
Refreshing Brazilian Lemonade,"water, limes, sweetened condensed milk, cubes, sugar","water, lime, sweetened condensed milk, sugar"
Light and Easy Greek Potato Salad,"potatoes, green onion, olive oil, red wine vinegar, lemon juice, garlic powder, onion powder, salt, black pepper, oregano, white sugar, rosemary, red pepper","potato, green onion, olive oil, red wine vinegar, lemon juice, garlic powder, onion powder, salt, black pepper, oregano, sugar, rosemary, red pepper"
